output_filename,cubes,modr v L,core r cm,keff,keff unc,therm fis %
o_b8hcp-caseSC-c1000-r59_52-d2o96_8-v1200.o,1000.0,1200.0,59.52216,0.90403,0.00013,83.13
o_b8hcp-caseSC-c1000-r62_38-d2o96_8-v1400.o,1000.0,1400.0,62.37779,0.92739,0.00015,84.7
o_b8hcp-caseSC-c1000-r67_41-d2o96_8-v1800.o,1000.0,1800.0,67.41403,0.95647,0.00014,86.71
o_b8hcp-caseSC-c1000-r71_79-d2o96_8-v2200.o,1000.0,2200.0,71.79282,0.97103,0.00014,87.94
o_b8hcp-caseSC-c1000-r75_69-d2o96_8-v2600.o,1000.0,2600.0,75.69413,0.97725,0.00014,88.78
o_b8hcp-caseSC-c1000-r79_23-d2o96_8-v3000.o,1000.0,3000.0,79.23007,0.97812,0.00014,89.34
o_b8hcp-caseSC-c1000-r82_48-d2o96_8-v3400.o,1000.0,3400.0,82.47578,0.97574,0.00014,89.76
o_b8hcp-caseSC-c1000-r85_48-d2o96_8-v3800.o,1000.0,3800.0,85.48435,0.97107,0.0002,90.06
o_b8hcp-caseSC-c1000-r88_29-d2o96_8-v4200.o,1000.0,4200.0,88.29486,0.96507,0.00017,90.28
o_b8hcp-caseSC-c1100-r59_71-d2o96_8-v1200.o,1100.0,1200.0,59.70875,0.90531,0.00018,82.87
o_b8hcp-caseSC-c1100-r62_55-d2o96_8-v1400.o,1100.0,1400.0,62.54776,0.92979,0.00017,84.44
o_b8hcp-caseSC-c1100-r67_56-d2o96_8-v1800.o,1100.0,1800.0,67.55963,0.96003,0.00018,86.55
o_b8hcp-caseSC-c1100-r71_92-d2o96_8-v2200.o,1100.0,2200.0,71.92125,0.97529,0.0002,87.83
o_b8hcp-caseSC-c1100-r75_81-d2o96_8-v2600.o,1100.0,2600.0,75.8097,0.98256,0.00017,88.69
o_b8hcp-caseSC-c1100-r79_34-d2o96_8-v3000.o,1100.0,3000.0,79.33557,0.98369,0.00017,89.29
o_b8hcp-caseSC-c1100-r82_57-d2o96_8-v3400.o,1100.0,3400.0,82.57315,0.98228,0.00019,89.71
o_b8hcp-caseSC-c1100-r85_57-d2o96_8-v3800.o,1100.0,3800.0,85.575,0.9778,0.00017,90.02
o_b8hcp-caseSC-c1100-r88_38-d2o96_8-v4200.o,1100.0,4200.0,88.37984,0.97204,0.00017,90.24
o_b8hcp-caseSC-c1150-r59_80-d2o96_8-v1200.o,1150.0,1200.0,59.80161,0.90165,0.00014,82.43
o_b8hcp-caseSC-c1150-r62_63-d2o96_8-v1400.o,1150.0,1400.0,62.6324,0.92685,0.00015,84.1
o_b8hcp-caseSC-c1150-r67_63-d2o96_8-v1800.o,1150.0,1800.0,67.6322,0.95917,0.00015,86.3
o_b8hcp-caseSC-c1150-r71_99-d2o96_8-v2200.o,1150.0,2200.0,71.9853,0.97651,0.00014,87.64
o_b8hcp-caseSC-c1150-r75_87-d2o96_8-v2600.o,1150.0,2600.0,75.86735,0.9848,0.00013,88.54
o_b8hcp-caseSC-c1150-r79_39-d2o96_8-v3000.o,1150.0,3000.0,79.38822,0.98701,0.00011,89.16
o_b8hcp-caseSC-c1150-r82_62-d2o96_8-v3400.o,1150.0,3400.0,82.62175,0.98634,0.0002,89.61
o_b8hcp-caseSC-c1150-r85_62-d2o96_8-v3800.o,1150.0,3800.0,85.62025,0.98284,0.00016,89.97
o_b8hcp-caseSC-c1150-r88_42-d2o96_8-v4200.o,1150.0,4200.0,88.42227,0.97774,0.00015,90.2
o_b8hcp-caseSC-c1200-r59_89-d2o96_8-v1200.o,1200.0,1200.0,59.89418,0.90163,0.00018,82.26
o_b8hcp-caseSC-c1200-r62_72-d2o96_8-v1400.o,1200.0,1400.0,62.71681,0.92713,0.00019,83.95
o_b8hcp-caseSC-c1200-r67_70-d2o96_8-v1800.o,1200.0,1800.0,67.70461,0.96037,0.00018,86.18
o_b8hcp-caseSC-c1200-r72_05-d2o96_8-v2200.o,1200.0,2200.0,72.04923,0.97862,0.00019,87.57
o_b8hcp-caseSC-c1200-r75_92-d2o96_8-v2600.o,1200.0,2600.0,75.92491,0.98734,0.00017,88.49
o_b8hcp-caseSC-c1200-r79_44-d2o96_8-v3000.o,1200.0,3000.0,79.44079,0.99014,0.00019,89.11
o_b8hcp-caseSC-c1200-r82_67-d2o96_8-v3400.o,1200.0,3400.0,82.6703,0.98962,0.00017,89.57
o_b8hcp-caseSC-c1200-r85_67-d2o96_8-v3800.o,1200.0,3800.0,85.66546,0.98645,0.00016,89.92
o_b8hcp-caseSC-c1200-r88_46-d2o96_8-v4200.o,1200.0,4200.0,88.46466,0.98212,0.00018,90.17
o_b8hcp-caseSC-c1250-r59_99-d2o96_8-v1200.o,1250.0,1200.0,59.98647,0.89314,0.00017,81.58
o_b8hcp-caseSC-c1250-r62_80-d2o96_8-v1400.o,1250.0,1400.0,62.80099,0.92107,0.00017,83.38
o_b8hcp-caseSC-c1250-r67_78-d2o96_8-v1800.o,1250.0,1800.0,67.77687,0.95653,0.00017,85.75
o_b8hcp-caseSC-c1250-r72_11-d2o96_8-v2200.o,1250.0,2200.0,72.11304,0.97664,0.00016,87.24
o_b8hcp-caseSC-c1250-r75_98-d2o96_8-v2600.o,1250.0,2600.0,75.98238,0.98756,0.00016,88.21
o_b8hcp-caseSC-c1250-r79_49-d2o96_8-v3000.o,1250.0,3000.0,79.4933,0.99216,0.0002,88.9
o_b8hcp-caseSC-c1250-r82_72-d2o96_8-v3400.o,1250.0,3400.0,82.71878,0.99307,0.00015,89.41
o_b8hcp-caseSC-c1250-r85_71-d2o96_8-v3800.o,1250.0,3800.0,85.71062,0.99156,0.00017,89.78
o_b8hcp-caseSC-c1250-r88_51-d2o96_8-v4200.o,1250.0,4200.0,88.507,0.98787,0.00015,90.06
o_b8hcp-caseSC-c1300-r60_08-d2o96_8-v1200.o,1300.0,1200.0,60.07847,0.88942,0.0002,81.17
o_b8hcp-caseSC-c1300-r62_88-d2o96_8-v1400.o,1300.0,1400.0,62.88495,0.91754,0.00019,83.03
o_b8hcp-caseSC-c1300-r67_85-d2o96_8-v1800.o,1300.0,1800.0,67.84897,0.95475,0.00018,85.49
o_b8hcp-caseSC-c1300-r72_18-d2o96_8-v2200.o,1300.0,2200.0,72.17675,0.97659,0.00018,87.03
o_b8hcp-caseSC-c1300-r76_04-d2o96_8-v2600.o,1300.0,2600.0,76.03977,0.98841,0.00018,88.04
o_b8hcp-caseSC-c1300-r79_55-d2o96_8-v3000.o,1300.0,3000.0,79.54573,0.9943,0.00019,88.77
o_b8hcp-caseSC-c1300-r82_77-d2o96_8-v3400.o,1300.0,3400.0,82.76721,0.99655,0.00016,89.31
o_b8hcp-caseSC-c1300-r85_76-d2o96_8-v3800.o,1300.0,3800.0,85.75573,0.9951,0.00017,89.7
o_b8hcp-caseSC-c1300-r88_55-d2o96_8-v4200.o,1300.0,4200.0,88.54931,0.99254,0.00017,90.0
o_b8hcp-caseSC-c1350-r60_17-d2o96_8-v1200.o,1350.0,1200.0,60.1702,0.88092,0.00017,80.54
o_b8hcp-caseSC-c1350-r62_97-d2o96_8-v1400.o,1350.0,1400.0,62.96868,0.91073,0.00019,82.48
o_b8hcp-caseSC-c1350-r67_92-d2o96_8-v1800.o,1350.0,1800.0,67.92092,0.95012,0.00021,85.07
o_b8hcp-caseSC-c1350-r72_24-d2o96_8-v2200.o,1350.0,2200.0,72.24034,0.97365,0.00016,86.71
o_b8hcp-caseSC-c1350-r76_10-d2o96_8-v2600.o,1350.0,2600.0,76.09707,0.98745,0.00018,87.8
o_b8hcp-caseSC-c1350-r79_60-d2o96_8-v3000.o,1350.0,3000.0,79.5981,0.99493,0.0002,88.57
o_b8hcp-caseSC-c1350-r82_82-d2o96_8-v3400.o,1350.0,3400.0,82.81559,0.99777,0.00018,89.11
o_b8hcp-caseSC-c1350-r85_80-d2o96_8-v3800.o,1350.0,3800.0,85.80079,0.9978,0.00017,89.54
o_b8hcp-caseSC-c1350-r88_59-d2o96_8-v4200.o,1350.0,4200.0,88.59158,0.99654,0.00019,89.87
o_b8hcp-caseSC-c1400-r60_26-d2o96_8-v1200.o,1400.0,1200.0,60.26164,0.85855,0.00018,78.97
o_b8hcp-caseSC-c1400-r63_05-d2o96_8-v1400.o,1400.0,1400.0,63.0522,0.8907,0.00018,81.14
o_b8hcp-caseSC-c1400-r67_99-d2o96_8-v1800.o,1400.0,1800.0,67.99272,0.93544,0.00019,84.07
o_b8hcp-caseSC-c1400-r72_30-d2o96_8-v2200.o,1400.0,2200.0,72.30382,0.96297,0.00018,85.88
o_b8hcp-caseSC-c1400-r76_15-d2o96_8-v2600.o,1400.0,2600.0,76.15429,0.98032,0.00018,87.11
o_b8hcp-caseSC-c1400-r79_65-d2o96_8-v3000.o,1400.0,3000.0,79.6504,0.99111,0.0002,87.98
o_b8hcp-caseSC-c1400-r82_86-d2o96_8-v3400.o,1400.0,3400.0,82.8639,0.99709,0.00015,88.64
o_b8hcp-caseSC-c1400-r85_85-d2o96_8-v3800.o,1400.0,3800.0,85.84581,1.00013,0.00017,89.14
o_b8hcp-caseSC-c1400-r88_63-d2o96_8-v4200.o,1400.0,4200.0,88.63381,1.0,0.00017,89.53
o_b8hcp-caseSC-c1450-r60_35-d2o96_8-v1200.o,1450.0,1200.0,60.35281,0.86076,0.00021,78.94
